sequence_length	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	Predicted_Disorder_Content_DT	Predicted_Disorder_Content_RF	Predicted_Disorder_Content_GB
1131	0.2801984437529807	36.8932350370726	0.8559631171873557	0.0929594982039992	-193	35.47468	69.84142	37.70269825733706	0.271966527196653	0.18351101557209476	0.186317334263931
1311	0.1488909404756355	37.77622296073549	0.8850745123921777	0.0683734359359069	-208	37.905815	77.843544	49.57400604527481	0.7257731958762891	0.354439758613927	0.33914231068730283
378	0.295550106175803	23.19908863885627	0.8507054796094735	0.1364284976941639	-109	24.619223	53.538418	25.848594146130296	0.175438596491228	0.18288836092966115	0.12975890079376112
1101	0.6755368349014422	22.20846953596442	0.8845595570427502	0.1211243276683931	-184	21.295439	52.752586	28.00030720420627	0.05056810451899227	0.10061059104212092	0.06696451552616174
4023	0.1204440920721921	59.19676409726711	0.947091761569686	0.0413075386811582	-367	60.369858	97.52252	76.68313818431162	0.041123144993533714	0.0724403536983128	0.009912691305829885
2241	0.1623071760095024	39.67948267025688	0.9177478060097458	0.0581851117017591	-304	45.98967	79.29032	56.1805552787653	0.0411764705882353	0.1810160377360078	0.18141763226259378
2592	0.1220488258423696	63.88418576854479	0.8148294757482888	0.0559555981173743	-271	47.24992	153.51569	65.79774070980118	0.03806594448774644	0.12173040073471919	0.13169911328670061
867	0.877472939562185	18.51818663916976	0.9362309684450766	0.1338029580597877	-187	22.299374	34.541855	23.94818130747474	0.451851851851852	0.22410342080376955	0.20524236055410344
3747	0.4942895270385351	38.35196797158812	0.898159151549237	0.0712142338276509	-247	42.68969	75.00725	46.90305694485769	0.030378723912986495	0.05007245378518948	0.035072554854241475
1236	0.4558258254934852	26.309445649751638	0.8908357196223207	0.1006718497477407	-208	29.296791	60.653694	33.451499000792154	0.13214773913137526	0.10163888685963368	0.04425479111058744
1848	0.1082089417023681	46.58700782877983	0.9363902384062572	0.0531193738995	-289	53.42846	82.209984	60.31306923210493	0.04333723181733453	0.19767930083207674	0.08445877685041138
3357	0.0863678893074442	63.32194440668683	0.9568219433406492	0.0394774769336459	-394	71.45036	101.34682	79.42198543229775	0.0693387946167349	0.4741644615453184	0.30019977783922286
1899	0.1774983386656241	67.64535393028072	0.7710782018680842	0.0734710683174597	-220	44.900562	123.465485	52.954939227954505	0.0119521912350598	0.10883644017724985	0.11438886589906572
1005	0.8443045299166193	20.26205554501027	0.9290694609890934	0.1288794974730332	-202	20.808764	37.533276	25.05470166920625	0.0824053452115813	0.0955781723970961	0.07504319006262222
1161	0.655285475417177	22.42173664429965	0.8765494619865623	0.1176952337237394	-175	22.563158	56.544437	29.07943415615564	0.12286900293492496	0.10301010500781337	0.060524696962692026
